iter	Logloss
0	0.6535341656
1	0.6209682798
2	0.5904639712
3	0.5675258987
4	0.5474319965
5	0.5308147467
6	0.5160812888
7	0.5042190522
8	0.4942727151
9	0.4846524135
10	0.4770848715
11	0.4703215401
12	0.4638360079
13	0.4582812471
14	0.4531497794
15	0.4488650214
16	0.4447560801
17	0.4419216351
18	0.4381762135
19	0.4348884134
20	0.4308956131
21	0.4286809862
22	0.4261288231
23	0.4233426337
24	0.4208719039
25	0.4185294746
26	0.4143065439
27	0.4128095862
28	0.411735716
29	0.4096592729
30	0.4073290029
31	0.4055029432
32	0.4041513665
33	0.4026973914
34	0.4007292565
35	0.399373249
36	0.3978018763
37	0.3964955584
38	0.3943175729
39	0.3924021967
40	0.3910289356
41	0.3898807431
42	0.3873933567
43	0.386186923
44	0.3852764076
45	0.3850016087
46	0.3828928974
47	0.3809188481
48	0.3778481541
49	0.3777129739
50	0.3765873104
51	0.3755529548
52	0.3740889276
53	0.3731968325
54	0.3718367725
55	0.3703890409
56	0.369039599
57	0.3674825539
58	0.3666183706
59	0.3656677861
60	0.3647925701
61	0.3637274296
62	0.3626143842
63	0.3620392125
64	0.3608727816
65	0.3598194893
66	0.35916608
67	0.3582971316
68	0.3574955623
69	0.3565728951
70	0.3557807637
71	0.3550226905
72	0.3539517447
73	0.3530867467
74	0.3509505155
75	0.3503014606
76	0.3496715845
77	0.3490334328
78	0.3480221775
79	0.3466800885
80	0.3452231986
81	0.3432580423
82	0.342454227
83	0.341017054
84	0.3396645626
85	0.3389764914
86	0.3382941104
87	0.3377209155
88	0.3369223892
89	0.3359650188
90	0.3346059198
91	0.3329867429
92	0.3322244767
93	0.3314713756
94	0.3306405879
95	0.329674508
96	0.3285761747
97	0.3278966003
98	0.3269923786
99	0.3260670404
100	0.3255004519
101	0.3243807804
102	0.3234356415
103	0.322476813
104	0.3217804482
105	0.3210925159
106	0.3204699618
107	0.3197131736
108	0.3186171763
109	0.3180273099
110	0.3175722788
111	0.3166738969
112	0.3154934133
113	0.3144223997
114	0.3137079729
115	0.3126841327
116	0.3124199626
117	0.3113676552
118	0.310909845
119	0.3097155271
120	0.308640689
121	0.3076980513
122	0.3066669999
123	0.3056619915
124	0.3049464051
125	0.3042791413
126	0.3035047995
127	0.3025509574
128	0.3021060712
129	0.3013882735
130	0.3001963308
131	0.2993857275
132	0.2981666628
133	0.2973318023
134	0.2966926264
135	0.2958689837
136	0.2949156236
137	0.2941046494
138	0.2932669727
139	0.2917500257
140	0.290868699
141	0.2895563241
142	0.2888033834
143	0.2878468867
144	0.2870602542
145	0.2865188536
146	0.2857136392
147	0.2846089088
148	0.2836849323
149	0.2831962924
150	0.2828319663
151	0.2818694421
152	0.2808991858
153	0.2800365605
154	0.2794154205
155	0.2785147551
156	0.2778721523
157	0.2768912979
