iter	Passed	Remaining
0	16	16045
1	31	15656
2	46	15326
3	62	15670
4	80	16082
5	98	16286
6	113	16160
7	128	15923
8	143	15830
9	160	15898
10	177	15973
11	192	15850
12	207	15784
13	223	15715
14	238	15689
15	254	15670
16	272	15730
17	287	15688
18	302	15628
19	317	15554
20	333	15529
21	349	15522
22	364	15498
23	381	15522
24	397	15495
25	413	15499
26	430	15527
27	446	15506
28	462	15488
29	479	15504
30	495	15503
31	510	15443
32	527	15445
33	542	15416
34	559	15431
35	574	15389
36	591	15403
37	607	15378
38	622	15336
39	639	15351
40	657	15370
41	672	15346
42	688	15331
43	704	15298
44	720	15283
45	735	15252
46	750	15211
47	764	15166
48	779	15134
49	795	15115
50	811	15104
51	827	15078
52	842	15047
53	855	14991
54	871	14969
55	886	14943
56	901	14913
57	916	14892
58	932	14869
59	947	14840
60	963	14836
61	981	14848
62	996	14819
63	1012	14810
64	1028	14791
65	1042	14759
66	1058	14746
67	1077	14763
68	1093	14748
69	1110	14752
70	1126	14744
71	1141	14714
72	1156	14689
73	1172	14670
74	1187	14650
75	1203	14626
76	1218	14609
77	1234	14590
78	1250	14578
79	1265	14551
80	1281	14534
81	1295	14508
82	1312	14504
83	1328	14485
84	1344	14469
85	1359	14444
86	1374	14425
87	1390	14413
88	1406	14398
89	1422	14381
90	1436	14346
91	1451	14324
92	1466	14303
93	1481	14283
94	1496	14259
95	1511	14235
96	1528	14232
97	1544	14219
98	1561	14211
99	1576	14191
100	1592	14174
101	1607	14150
102	1622	14132
103	1637	14110
104	1652	14086
105	1667	14066
106	1683	14052
107	1698	14025
108	1712	14000
109	1728	13983
110	1743	13963
111	1758	13941
112	1775	13934
113	1789	13908
114	1805	13891
115	1821	13879
116	1836	13858
117	1851	13837
118	1867	13823
119	1882	13803
120	1897	13785
121	1912	13764
122	1927	13744
123	1944	13733
124	1963	13741
125	1978	13725
126	1993	13704
127	2008	13682
128	2023	13665
129	2039	13650
130	2054	13626
131	2070	13614
132	2085	13594
133	2101	13579
134	2116	13563
135	2131	13542
136	2146	13524
137	2162	13505
138	2177	13486
139	2192	13467
140	2208	13453
141	2222	13431
142	2239	13420
143	2252	13392
144	2268	13378
145	2283	13358
146	2299	13342
147	2314	13324
148	2329	13304
149	2345	13288
150	2360	13274
151	2376	13259
152	2391	13238
153	2406	13220
154	2422	13205
155	2436	13184
156	2452	13168
157	2468	13153
158	2483	13135
159	2498	13116
160	2513	13099
161	2530	13087
162	2546	13074
163	2562	13060
164	2577	13042
165	2592	13023
166	2607	13008
167	2622	12989
168	2637	12967
169	2651	12947
170	2667	12930
171	2682	12913
172	2698	12897
173	2714	12884
174	2729	12866
175	2743	12844
176	2759	12832
177	2775	12817
178	2790	12798
179	2813	12816
180	2827	12795
181	2841	12772
182	2856	12753
183	2871	12734
184	2885	12713
185	2902	12700
186	2917	12684
187	2935	12680
188	2951	12665
189	2968	12653
190	2983	12637
191	2998	12616
192	3012	12597
193	3027	12576
194	3042	12558
195	3058	12545
196	3073	12529
197	3090	12517
198	3105	12501
199	3121	12486
200	3136	12469
201	3150	12446
202	3165	12429
203	3181	12415
204	3198	12402
205	3213	12385
206	3228	12369
207	3243	12350
208	3258	12332
209	3273	12314
210	3289	12301
211	3305	12287
212	3321	12271
213	3335	12251
214	3349	12230
215	3365	12215
216	3380	12196
217	3394	12177
218	3409	12159
219	3425	12144
220	3440	12128
221	3456	12111
222	3471	12094
